"data_all_means","mean_people","mean_experiments","mean_coords"
27.4944408835836,"p9","e10","x"
-1.14165212348808,"p10","e10","y"
37.8697435504655,"p1","e11","z"
29.2254164306037,"p2","e11","x"
0.0906182521707371,"p3","e11","y"
37.6035228272701,"p4","e11","z"
33.0280194415559,"p5","e11","x"
-0.553642612434596,"p6","e11","y"
39.0120571890124,"p7","e11","z"
32.280665792257,"p8","e11","x"
-2.88962676861045,"p9","e11","y"
38.6861809191041,"p10","e11","z"
30.3352712567049,"p1","e12","x"
-1.64939740384705,"p2","e12","y"
38.1716390917825,"p3","e12","z"
32.942433358688,"p4","e12","x"
-2.30041881030983,"p5","e12","y"
35.4932418227127,"p6","e12","z"
32.5713156984449,"p7","e12","x"
-2.69917090924441,"p8","e12","y"
35.0052204918967,"p9","e12","z"
