"data_all_max","max_people","max_experiments","max_coords"
53.4429681254265,"p6","e11","z"
59.2338618714464,"p7","e11","x"
0.838281022935825,"p8","e11","y"
52.1693131929061,"p9","e11","z"
58.694358515671,"p10","e11","x"
-0.152390884595504,"p1","e12","y"
49.2238684013284,"p2","e12","z"
59.3300573381632,"p3","e12","x"
1.74089785185397,"p4","e12","y"
49.1302480323453,"p5","e12","z"
59.996483705239,"p6","e12","x"
2.69310733270406,"p7","e12","y"
53.7323849050744,"p8","e12","z"
59.5884974894418,"p9","e12","x"
1.32166440195381,"p10","e12","y"
50.1395797699976,"p1","e13","z"
59.543019547294,"p2","e13","x"
2.29778306815224,"p3","e13","y"
52.4562675611061,"p4","e13","z"
58.9706535683617,"p5","e13","x"
0.779930701871436,"p6","e13","y"
52.0611775545237,"p7","e13","z"
59.6204853381545,"p8","e13","x"
0.284998019880669,"p9","e13","y"
50.9827117150807,"p10","e13","z"
59.6189706404282,"p1","e14","x"
1.95889789142956,"p2","e14","y"
47.930336259703,"p3","e14","z"
59.0381937283081,"p4","e14","x"
1.5147847220636,"p5","e14","y"
47.8802090630826,"p6","e14","z"
59.7284424898033,"p7","e14","x"
-0.477068510270798,"p8","e14","y"
47.5979964639111,"p9","e14","z"
60.403692100224,"p10","e14","x"
0.0427575982723529,"p1","e15","y"
46.5006849833294,"p2","e15","z"
60.079380578442,"p3","e15","x"
1.40673663933279,"p4","e15","y"
48.3125026288951,"p5","e15","z"
60.4603859853935,"p6","e15","x"
0.510479568598182,"p7","e15","y"
50.285678380336,"p8","e15","z"
59.7641861461971,"p9","e15","x"
0.588967749245064,"p10","e15","y"
47.0603444568484,"p1","e16","z"
59.7848118105074,"p2","e16","x"
0.708392276467896,"p3","e16","y"
46.7549776580622,"p4","e16","z"
59.7730538685429,"p5","e16","x"
0.352959574863563,"p6","e16","y"
47.1992289522903,"p7","e16","z"
59.6487751646974,"p8","e16","x"
-0.0187526422424105,"p9","e16","y"
47.0565398347727,"p10","e16","z"
59.4602865262166,"p1","e1","x"
-0.821368875196326,"p2","e1","y"
49.8346954750946,"p3","e1","z"
60.1566873569227,"p4","e1","x"
-0.134710543824262,"p5","e1","y"
48.4677733117303,"p6","e1","z"
60.0708395717309,"p7","e1","x"
-0.43210943821231,"p8","e1","y"
46.8596168712508,"p9","e1","z"
59.5236379743969,"p10","e1","x"
0.233461845750659,"p1","e2","y"
47.1478561786594,"p2","e2","z"
59.917793803305,"p3","e2","x"
-0.585206384819865,"p4","e2","y"
47.7878181735753,"p5","e2","z"
59.0280128932016,"p6","e2","x"
0.0567552565499664,"p7","e2","y"
46.2034812461177,"p8","e2","z"
58.9730800543965,"p9","e2","x"
0.686655589076806,"p10","e2","y"
47.4406256946198,"p1","e3","z"
60.511739449188,"p2","e3","x"
0.986814882511085,"p3","e3","y"
45.7841255042939,"p4","e3","z"
60.2883128367643,"p5","e3","x"
0.826191909023902,"p6","e3","y"
47.0260585234139,"p7","e3","z"
61.1761448698028,"p8","e3","x"
1.32416897597855,"p9","e3","y"
48.9002035119812,"p10","e3","z"
60.216658450178,"p1","e4","x"
0.661893719135131,"p2","e4","y"
47.6545655979293,"p3","e4","z"
59.7756912616944,"p4","e4","x"
0.619140499950904,"p5","e4","y"
48.5584888064464,"p6","e4","z"
60.8977682114323,"p7","e4","x"
0.220327846070511,"p8","e4","y"
45.6355152563646,"p9","e4","z"
59.2790813945912,"p10","e4","x"
1.35853141169716,"p1","e5","y"
46.4387327068146,"p2","e5","z"
59.1807425375882,"p3","e5","x"
1.34630588243194,"p4","e5","y"
46.994235147682,"p5","e5","z"
59.7314472692838,"p6","e5","x"
1.2105617236292,"p7","e5","y"
47.2562369764318,"p8","e5","z"
60.1044378565972,"p9","e5","x"
0.352504783498362,"p10","e5","y"
43.4469584657582,"p1","e6","z"
59.8623053783026,"p2","e6","x"
1.45753485191643,"p3","e6","y"
48.7202702083256,"p4","e6","z"
59.6095348673903,"p5","e6","x"
0.589382238930381,"p6","e6","y"
49.533283946366,"p7","e6","z"
58.7746964805376,"p8","e6","x"
-0.0677827914999832,"p9","e6","y"
44.3519690687771,"p10","e6","z"
60.4902900082709,"p1","e7","x"
3.10981738492273,"p2","e7","y"
56.4484110395711,"p3","e7","z"
60.3951135442925,"p4","e7","x"
0.946856858969682,"p5","e7","y"
58.7260584304467,"p6","e7","z"
61.1087798943271,"p7","e7","x"
1.37610813511606,"p8","e7","y"
59.4458061974337,"p9","e7","z"
59.5159684218568,"p10","e7","x"
0.82234931459208,"p1","e8","y"
59.0701171706524,"p2","e8","z"
59.6835549477254,"p3","e8","x"
0.549261502012131,"p4","e8","y"
59.5912999187483,"p5","e8","z"
59.0276925120421,"p6","e8","x"
0.427662911268413,"p7","e8","y"
58.2201000429329,"p8","e8","z"
59.3993579261001,"p9","e8","x"
1.21833182604209,"p10","e8","y"
56.9401578653647,"p1","e9","z"
59.9583588440827,"p2","e9","x"
0.330555442549885,"p3","e9","y"
57.3453233958906,"p4","e9","z"
59.9529216248068,"p5","e9","x"
1.10112724585489,"p6","e9","y"
57.706185160819,"p7","e9","z"
59.4507484754809,"p8","e9","x"
0.59305483713065,"p9","e9","y"
58.10956302151,"p10","e9","z"
58.7943051685362,"p1","e10","x"
-0.0593419528729913,"p2","e10","y"
50.2387405508804,"p3","e10","z"
59.3691856295563,"p4","e10","x"
0.0947753015099511,"p5","e10","y"
51.8996443917134,"p6","e10","z"
59.872784926232,"p7","e10","x"
0.0289166583901323,"p8","e10","y"
48.9626933227652,"p9","e10","z"
60.2598768923374,"p10","e10","x"
0.706367417974765,"p1","e11","y"
51.16434494966,"p2","e11","z"
